fluidify	积满液体
polynuclear	多核的
trivialism	琐碎
phi	希腊文的第
impious	无信仰的
curvy	曲线美
guana	巨蜥
valetudinarian	体槿醯
sill	门槛
labyrinth	迷宫
paradrop	利用降落伞空投
courtliness	礼让
watcher	观察者
mace	催泪瓦斯
nylex	耐勒克斯
gibbose	凸状的
sympathizer	同意者
affectivity	情感性
karroo	南非洲的干燥台地高原
unplucked	未拔毛的
schoolchild	学童
subterconscious	=subconscious
simple	天真的
conradian	有康拉德特色的
tass	Union
endogenesis	内生
shrewish	脾气暴躁的的
ardently	热烈地
etep	Efficiency
scarfskin	外皮
sonance	声音
compulsory	被强迫的
sparkling	闪闪发光的
provascular	原形成层
unphysiological	生理上不健全的
ayh	American
matey	好朋友
mesencephalon	中脑
isospondylous	等椎目
footway	小路
rummy	危险
maestro	艺术大师
discoverer	发现者
crinite	有毛发的
chalklike	似粉笔的
tractable	易驾驭的
mindanao	棉兰老岛
fiance	未婚夫
bimonthly	双月刊
pantisocracy	大同世界乌托邦
elektron	=electron
alpenstock	登山杖
unprizable	不值得评价
nourice	=nurse
kicker	爱踢的马
cannikin	木桶
basaltic	玄武岩的
narcose	昏睡的
asteraceous	紫菀科
delian	l
observingly	注意地
sedentariness	定居
rockbound	顽固的
tailorship	成衣活
consociation	合作
embroidery	粉饰
legend	联想集团
page	标明……的页数
migraineur	偏头痛患者
triskelion	三曲臂图
hematopoietic	造血的
haunted	受到折磨
countercharge	反攻
haily	夹有冰雹
sulfonylurea	=sulphonylurea
sib	近亲
thermic	热
repeal	否定
weekend	周末休假
gaper	打哈欠的人
unrenewable	无法再用的
vintage	最佳
kithe	公布
workman	工人
anoopsia	上斜视
nail	钉
gcf	common
wintertime	冬
seducer	骗子
qualification	资格
unseemly	不体面地
exsuccous	无汁的
haj	麦加朝圣
winning	获
ontogenic	=ontogenetic
evangelistically	福音传教士
hypoptyalism	泌涎不足
subnuclear	亚核粒子研究
peasant	乡下人
clergy	圣职者
flavorous	美味
magcard	磁卡
encephalitogen	致脑炎病毒
scuttle	舱室小孔
smooth	圆滑的
pogamoggan	大头棒
feep	发出尖笛声
aftereffect	后果
wog	疾病
undefendable	不能保卫的
evolutive	演变
lg	Low
cot	帆布床
liveweight	活重
harpsichord	大键琴
yom	日子
equipotential	等电位
donable	可赠与的
obviate	消除
fabulize	编造寓言
sopot	索波特
classically	拟古地
matronly	主妇似
applicable	可适用的
graveness	严重
doggery	下等社会
disconnected	分离
impugn	打击
coeval	同时代的
exhilarative	使高兴的
deprecation	强烈不赞成
prevalent	流行
husky	谷的
securely	安心
unconcernedly	不在乎
parathormone	甲状旁腺素
book	工作簿
citramontane	山这边的
sling	钩悬带
prix	价格
ceterach	一种羊齿植物
reen	排水沟
pickoff	以牵制球使出局
foraminiferous	有孔虫目
radiomimetic	类放射的
coldhearted	冷淡无情的
smooth	变平静
victualing	粮食获取
sensation	感动
southeastward	东南
artifactitious	加工
ulf	Ultra
easygoing	悠闲
unhuman	无人类属性的
incisive	尖锐的
erotologist	色情文学家
exotic	奇异的
miscreance	错误信仰
ainu	阿伊努人
monsoon	季风
ambiguous	暧昧的
crooknecked	颈部弯曲
napooed	结束
restiform	绳状
tastefully	高雅地
playdate	上映期
sideline	兼职
stuffy	乏味
histioid	蜘蛛网状的
urinose	尿质
interested	有权益的
trotty	小跑
beard	胡须
eunomic	良好的
blandish	讨好
moorish	摩尔人式的
ramark	雷达指点标
septangle	七边形
tongued	说话……
haematologist	血液学学者
nearshore	近岸水域
masticable	可咀嚼
amaranthine	不死
windows	微软公司生产的"视窗"操作系统
disapprobation	非难
offset	弥补
smoky	烟状
landler	兰德勒舞
linguistry	语言学知识
mean	低劣
unadaptable	不能适应
topgallant	最高的
crassilingual	有厚舌
unsympathizing	不同情
chimeric	妄想
hirable	能雇用的
opencast	露天挖掘
quechuan	盖丘亚人的
inaptly	不合宜
antipyretic	退热的
determining	决定
agoraphobe	旷野恐怖症
rival	对抗
cambium	形成层
cleavable	劈得开的
finitism	有限论
cajolery	甜言蜜语
tab	帐单
tempestuous	有暴风雨的
photorecorder	自动记录照相机
fluoridate	在饮水中加少量之氟
colourplate	彩色版
pinto	花马
pedicle	=pedicel
gadid	鳕科的
channel	形成河道
whinstone	玄武岩类
maulvi	大毛拉
dilate	详述
sinicism	中国习俗
noncommissioned	无委任令的
jurat	地方法官
foreoath	讼前宣誓
oracle	美国ORACLE公司
hubless	无轮毂的
smoothly	平稳地
coeval	同时代的人
hymenopter	膜翅目昆虫
sylvicultural	造林的
kiaugh	烦心
renunciate	宣布中止
plenty	大量
dropshutter	自动下落防光门
celoscope	腹腔镜
liveability	=livability
chemist	药剂师
aforehand	预先的
significance	重要性
quadrumane	四足构造皆如手的脊椎动物
intermediary	仲裁者
fatter	丰满
bacteroid	细菌状的
coolville	顶呱呱
quoit	绳圈
coeternal	同为永远的
theirs	他们
centromere	着丝粒
sectile	可切的
with	用
unwashed	不清洁
subtemperate	亚温带的
quid	二十先令
tetraparesis	四肢轻瘫
amphitryon	底比斯王
somnambulant	梦游的
silvanus	森林田野之神
chromatophil	易染色性
avulsed	被撕开
homogenization	纯一化
unbeknown	未知的
alulae	的复数形式
wizard	巫术
neuropter	脉翅目昆虫
electropolar	电极化
peer	与……同等
bachelor	单身汉
ashore	向岸地
zodiacal	黄道带内
cytrel	"赛特雷尔"代烟丝
piercingly	刺透地
permeable	有浸透性
gradatim	渐渐地
weariful	使人疲倦的
simpleness	简单
spadicose	生肉穗花序的
chimeric	妄想的
nga	Association
assaying	分析试验
odditional	补充
glacis	斜堤
fijian	斐济群岛语
utricle	胞果
inimitable	独特
patriarchy	父权制
macroscopic	肉眼可见
gametocide	杀配子剂
manumission	解放
punic	古迦太基人
cenobitism	修道院制
maculate	玷污
sticker	滞销物
disloyalty	不信
ferriferous	含有三价铁
hamza	代表闭锁音的符号的
phoning	打电话给
calendula	金盏草
disgustful	唾弃的使人发呕
depreciation	折旧
adipokinetic	hormone脂肪动员激素
flirtatious	爱调戏
mesovarium	卵巢系膜
piffling	琐碎
fill	注满
vacuumize	真空包装
cadet	拉皮条的人
humanly	像人地
aomori	青森
bundesrath	瑞士联邦议会
esr	electron
preadolescence	青春期前
triniscope	三枪显像管
hornwork	角器
griffith	格里菲思
fortification	防御工事
ultimate	最后
fair	美好的事物
mystagogic	传授秘诀的
myxovirus	黏病毒
riffy	多连复段的
liquefaction	液化
biramose	二枝
sicative	收湿
polonius	波洛尼厄斯
unreasoningly	不合理地
phenate	石炭酸盐
saccate	有囊
unisonous	同度
uddered	有乳腺的
notarise	=notarize
prepositor	学生自治会主席
graf	伯爵
malayan	马来人的
adrenalin	肾上腺素
anchithere	化石马
health	健康状态
lallygag	性交
lurcher	间谍
shortfall	不足量
sweeping	扫荡
adrenergic	释放肾上腺素
straight	直的
hydrated	含水
phlogosis	炎症
jazz	游荡
greasiness	多脂
montefiascone	蒙蒂菲阿斯科尼白葡萄酒
inorganizable	无法组织的
earnest	认真
subdeaconate	副执事职位
sweeping	扫荡的
accessible	易接近
parthenos	处女
unpin	拔掉闩
dilatorily	慢吞吞
niblick	铁头球杆之一种
longevity	供职期限
period	过去某段时期的
fasching	谢肉节
wearable	可穿用的
misgotten	不正当获
tubercule	瘤状突起
combing	梳弃的毛或发
catalogue	目录
transvestism	易装癖
guarani	瓜拉尼语
encephalic	脑
motivity	动力
inform	告诉
kuibyshev	古比雪夫
start	优先地位
sailor	不大会晕船的人
dogfight	缠斗
hercules	武仙座
vespine	大胡蜂的
lallan	苏格兰低
deglaciation	冰川的消失
cqd	come
undissolute	不放纵的
saccharometer	较酵计
dysaesthesia	感觉迟钝
enlarger	增补者
mitsein	共在
catfoot	轻声地走
arrester	捕拿者
equinoctial	赤道
activation	活化作用
aposematic	警戒色的
synclinal	向斜层
vaporescence	汽化过程
octangle	八角形
sociocultural	社会与文代化的
trigamous	雌雄三种花的
queenly	威严
aclinic	水平
iaaf	国际业余田径联合会
depreter	墙壁的碎石面饰
stracciatella	鸡蛋干酪汤
ungovernable	难统治
decennium	十年间
summit	参加最高级会议
ruijin	瑞金
intertype	国际牌行式排字机
mitigant	缓和的
yeh	是
help	治疗
aton	阿托恩
allpowerful	全能的
flashily	瞬间
matins	英国教堂之晨祷
wlm	妇女解放运动
laurustinus	棉毛荚莱
exotoxic	外泌毒的
ruler	统治者
scantling	少量
glyconic	格莱坎诗体
provide	预防
loop	以环连结
collarette	女用围巾
epicalyx	萼状总苞
deplethoric	贫血
consenting	同意
floating	不固定
hurriedly	仓促地
unalleviated	未减轻
collogue	密议
adularescent	有白色
unsensible	无知觉
postman	邮差
shirr	橡皮线
speciously	像是真实地
screwy	疯疯癫癫的
preludial	序幕
roadmap	路标
scottishry	苏格兰人品质
eunuchoid	似阉人的
happenstantial	偶然
coessential	同素
primidone	普里米酮
scrollwork	蔓叶花样
malformed	畸形
publican	收税员
soap	肥皂
topology	拓扑
insentient	无知觉
samely	单调
easygoing	悠闲的
uncultured	无教养的
boff	博取笑声的台词
banishment	驱逐
grate	炉
fjeld	冰蚀高原
pale	使失色
uhf	超高频
nonsuch	无与伦比的事物
slate	石片
reembroider	加绣
declarer	申报者
skiagram	=sciagram
laborious	勤劳的
febrifuge	退热药
throng	群集
hyperpituitarism	垂体机能亢进
baroness	女性男爵
variomatic	皮带驱动自动传递
hex	施魔法于
adjectivally	形容词般
sodomist	鸡奸者
placed	放置
omsk	鄂木斯克
physiological	生理学上
possessory	所有者
dressily	衣着讲究的
desaturate	使不饱和
unclos	on
snide	不诚实的
iso	International
carking	恼人的
unprejudiced	没有成见的
overseer	工头
tif	Image
wassermann	=Wassermann
epileptoid	类癫状的
qwerty	与英文打字机键盘一样的
portmote	自治市法院
sadomasochism	被虐待性变态
crystalline	水晶
fully	完全
unshapely	不匀称的
culturist	养殖者
enamel	珐琅
swiss	瑞士人的
dialogically	对话
eunomianism	极端阿里乌主义(公元4
faery	仙境
unreasoningly	无理智
polymely	多肢畸形
nephridial	肾的
other	不同
prolapsus	下垂
sunder	切开
realizable	可实现的
pronunciation	发音
knap	小山的山顶
fearful	可怕
hogwash	猪食
rivalrousness	敌对性
bully	威吓
magnific	崇高
backpat	赞许表示
resolutive	使分解
fine	精巧
dateless	无期限
woodenheaded	愚蠢
nasofrontal	鼻额的
superacid	酸性过多的
scute	盾板
crystallogeny	晶体发生学
makable	可建造
contract	合同
overdone	overdo的过去分词
plunder	战利品
gemutlich	和善
buffo	演滑稽角色的男低音歌手
dissect	把……切成碎片
subsidiary	辅助的
frostline	冻深线
satire	讽刺文学
ranging	距离修正
infinitely	无穷
decency	庄重
mastitis	乳房炎
peck	扔石头
expressionless	无表情的
ferroalloy	铁合金
tough	坚强
expansion	辽阔
unchangeable	不能改变的
pool	合伙经营
klieg	light
wtc	美国世界贸易中心
somatological	人体学
palpable	可触知的
crystal	结晶状
heitiki	绿玉人像颈饰
chance	可能性
moderato	中板地
alleyway	小巷
enroll	登记
truckway	运货汽车道
assheaded	笨蛋的
acrobatics	杂技
impervious	不会受到损伤的
irreproachable	不可非难
embryotrophic	胚胎营养素的
streamlined	最新型的
earnest	重要
sciolto	断音地
tinker	笨拙的修补
asteroidean	海盘车类动物
contrecoup	对侧伤
distensile	会扩张
chewy	耐嚼
ochreous	赭色的
gelatiniferous	产树胶的
rheumy	潮湿
genista	金雀花
wield	挥
sinistral	左首的
furunculoid	像疔疮
inerrant	确实的
immobilise	使固定
pacificator	平定者
embodier	具体表现者
choke	阻塞
raving	胡言乱语
ralline	似秧鸡的
stormbound	因暴风雨而被困的
comtian	实证论的
lace	鞋带
greedily	贪食
hairstreak	翅上有细纹的蝶
legatary	遗产
prospect	景色
physiographical	文学
distinguished	著名的
rediscovery	重新发现
housebroken	管教好的
cyclone	飓风
disgruntle	使不高兴
separative	分离性
endearing	引起爱情
overhear	偷听
plank	政纲条款
douai	Bible
rontgen	X光的
grudge	不给予
trichroism	三色现象
constellate	遍布闪耀
uninterrupted	未受干扰
tolerance	宽容
fly	飞行
grieve	忧伤
ytterbous	镱的
quintefoil	五叶形的装饰
unconditional	无限制的
chasseur	追击兵
allochthonous	属曾被地壳动力搬移
formic	蚁酸的
sticky	粘性的
inactivity	静止
easternmost	极东
roadability	车辆行驶安定性能
circumlittoral	沿海的
leucoderma	白斑病
pigeonhearted	胆小的
epimerase	差向酶
inexorable	无情的
builder	增洁剂
gesticulatory	做着手势
inflexible	顽固的
hypnology	催眠学
isochroous	各部分同色的
bacchic	醉的
gayly	华美
trimethylamine	三甲胺
lustreless	无光泽的
turntail	胆小鬼
uninvoked	未被恳求
tufty	多穗的
unwrung	不被扭曲
dreamy	多梦
mitigative	平静
musaceous	香蕉科的
workgroup	工作组
intacta	保持童贞
reinstitution	再设立
survey	测量
fluorography	荧光照相术
aureate	金色
footlights	脚灯
underwritten	underwrite的过去分词
hump	驼背
cartoon	卡通片
unbefitting	不相宜的
panglossian	认为一切都趋于至善
bobsleigh	长橇
umbilicate	脐状
lesgirls	女子们
proficient	精通
tame	驯养
elide	省略
miniscule	草写小字
medieval	老式
unicef	Children''sEmergency
acetobacter	醋菌属
gammon	胡说八道!
irradiative	有启发作用
repeal	放弃
crambo	对韵游戏
vaporizer	喷雾器
phonic	声学
oftimes	=often
jeepers	天呀
batty	蝙蝠的
enumerate	列举
dac	Douglas
ilo	国际劳工组织
plump	丰满的
noisily	吵闹
reedy	芦苇丛生
assuming	不逊的
severally	各自
francophobe	反法国的
necromania	=necrophilia
engobe	釉底料
dismiss	解职
remittal	减轻
tetraploid	四倍体
trusteeship	托管人职责
goddam	诅咒的
dolly	捣碎
collagenous	成胶
unmercenary	非雇佣
cognac	白兰地酒的一种
apperception	领悟
valued	贵重
veracious	诚实的
garnet	深红色
tasty	好吃
rigorism	严格
spindling	细长的
lockable	可锁定的
impercipience	无知觉
tooling	加工
fruitage	果实
ribbed	有肋骨
atlanticist	大西洋主义者
some	相当
ruly	有条不紊的
past	晚于
wilding	野生苹果
alignment	队列
dominancy	统治
bouffe	滑稽的
industrialize	使工业化
readapt	重新适应
quaquversal	向四方倾斜
scalding	滚烫的
geostationary	与地球的相对位置不变的
divinatory	占卦
areological	火星科学研究的
allude	影射
helminthoid	蠕虫状的
scalenus	斜角肌
tergiant	显示出背部的
mortal	极端的
dishtowel	擦碟干布
odour	臭味
checked	格子花纹
slack	静止
hardy	难的
illiberalism	反自由主义
glycine	氨基乙酸
feculence	变浊
uncommunicative	沉默寡言
mullah	毛拉
fruit	水果
righty	用右手
amort	意志消沉
whitebait	银鱼
antiblack	反黑人
udf	Disc
mackinawite	马基诺矿
sonsy	开朗的
ligeance	封
regulate	管制
mite	微小的东西
distant	冷漠的
calculate	认为
unconstrained	不做作
humorless	缺乏幽默感
indefeasible	不能废弃
counterfort	山嘴
stolid	神经麻木的
auriferous	产金
skip	急速改变
caip	Cable
cellularity	多孔性
contemptibly	下贱地
doorstep	入门之阶
bora	吹袭亚德里亚海沿岸的季节性东北冷风
trichrome	三色
endometrium	子宫内膜
toggery	服装店
iricism	=Irishism
pigmentary	颜料
cowardly	胆怯地
nonlicet	非法
conformable	适合的
stolid	不易激动
mistakable	易弄错的
mariticide	杀夫
neurohormonal	神经激素的
couchy	茅草的
woodsy	树林中
stanhope	单人乘座轻马车的一种
sunburst	从云隙射下的阳光
ravined	布满沟壑的
foresaid	前述的
ascap	Society
twentieth	第二十的
incessant	不停
dampness	潮湿
ilmenite	钛铁矿
haut	上流社会的
banjax	打
chagul	羊皮做的水壶
reinforce	加固
physical	物质的
sbirro	警察
adhesive	胶粘
blaspheme	辱骂
forever	常常
factotum	打杂的人
subcelestial	尘世
fiefdom	封地
hatefully	憎恨
pyrocatechol	邻苯二酚
extraatmospheric	大气层外的
notification	通知
clindamycin	氯洁霉素
seeder	播种机
deemphasize	不再给予强调
attica	阿提卡
anapestic	抑抑扬格的
satellization	附庸国化
sole	基础
widf	International
epidermal	外皮的
cash	现金
camberwell	坎伯威尔
formular	公式
shelly	壳
waterlogged	浸满水的
thowless	无生气的
gatetender	看管铁路平交道栅栏的人
synodal	宗教会议
pasteurellosis	出血性败血病
whitleyism	惠特利主义
rollaway	滚移
bunglesome	笨拙的
pentagonese	军界行话
warehouseman	仓库管理人
cockiness	骄傲自大
homefelt	痛切感到
pricket	二岁的雄鹿
bps	每秒位数。
untamed	未驯服
planetesimal	星子假说
aacs	and
cpa	Canadian
hypaesthesia	感觉迟钝
antiperspirant	止汗药
unanimous	意见一致
jurisdiction	权限
distributive	分配
incompatible	性质相反
discommodity	不便
hearty	衷心的
ministry	部门
gath	=gat
permissibly	到许可
early	早熟的
rheologic	流变学的
loiteringly	吊儿郎当地
fungistatic	抑制真菌
vinosity	酒质
fettle	整顿
unsearched	没有寻找过的
woundy	极大的
moll	妓女
semiotic	记号语言的
stoep	屋前游廊
prepsychotic	精神病前
cowling	飞机引擎罩
pardi	无疑
birdwoman	女飞行家
yomp	艰苦跋涉于
interspatial	层际空间
seminude	半裸
reverberation	反射物
glulam	胶合层木
nonperson	微不足道的人
ternate	三个一套的
brucine	番木鳖碱
gigue	吉格舞
flush	使脸红
contingency	可能发生的附带事件
devotion	投入
privy	有利害关系的人
excerption	选录
hearty	亲切
myrialitre	万升
delusive	令人错解的
diabetes	糖尿病
warp	变的反常
hieron	圣地
inosculate	融合
by	由
midgarth	尘世
wnp	Nationalist
ciliate	纤毛虫
imploring	恳求
plumose	有羽毛
liabilities	负债
aerobatics	特技飞行
rooftree	栋梁
enrolment	入学
segregationist	隔离主义者
proctitis	直肠炎
poor	可怜的
sporicide	杀孢子剂
stinking	烂醉
perambulatory	巡行的
quizzical	嘲弄的
hyperuricaemia	高尿酸血
unequable	无规律
transactor	处理者
loophole	望孔
affright	恐怖
hood	给……加罩
rejoneador	马背斗牛士
aborigines	土著
legit	合法
lunate	半月形
unstuck	松开
tease	嘲弄
infertile	不毛的
forward	前进
reflectible	能反射
secateur	修枝
kartell	企业联合
hieroglyphic	象形文字
assamese	阿萨姆人
odditional	加添
bladdernose	冠海豹
jewelly	光彩夺目
smother	窒息
brahman	印度产的牛
bachelorship	独身
ruching	褶饰
negligible	不予重视
xerantic	除湿
trail	追踪
exhaust	用不完
finality	最后的事物
unbelieving	不相信的
editorial	社论的
tetartohedral	具有四分之一结晶体对称面的
infatuatedly	着迷地
burger	各种夹饼
coarctate	身体包在干壳中的
hydrocyclone	水力旋流器
uruguayan	乌拉圭
printer	印刷工
knobstick	瘤头棍棒
innumeracy	无数学和自然科学知识
monstrous	恐怖的
secretory	分泌的
alleyway	窄街
usb	Universal
autograft	自体移植物
bakelite	酚醛塑料
samekh	希伯来语的第十五个字母
cylindromatous	圆柱瘤
vstol	垂直短距起落
pinpoint	精确
harshness	刺耳
solutizer	助溶剂
sponsor	主办人
anticonvulsant	抗惊厥的
pratie	土豆
dastardly	卑鄙
testily	暴躁
verification	诉状结尾的举证声明
nones	3、5、7、11月之第7日或他月之第5日之祈祷
doven	=daven
customshouse	=customhouse
neovascularization	新血管形成
rescript	抄件
hierogram	圣符
semisocialist	半社会主义者
ames	艾姆斯氏试验
alien	相异的
unbalance	使能避免的
significs	符号学
housecoat	家常服
hyetograph	雨量图
duvetine	混纺毛织品的一种
austronesian	语族
persuasion	说服力
motorial	运动
dubious	不确定的
cannibalize	拆用配件
ornl	Ridge
bryant	布赖恩特
brandied	加白兰地酒来调味
alehouse	出售麦酒的酒店
ransom	敲诈
courteously	亲切地
tipple	烈酒
transgression	违反
space	余
print	印刷物
shoreward	面向岸的
unsound	不稳固的
sup	一口
scumble	将色彩变淡
framer	创作者
bedraggled	荒废
dotal	嫁妆
anthrop	人类学
interzonal	地带间的
substruction	地下建筑
spelk	木片
initial	初始
swingometer	选票指示器
longhead	头颅长的人
engrain	染成木纹色
passimeter	绕杆
electrolysis	电解
quaveringly	震动
cramp	难解的
ndea	Education
transposal	易位
annaba	安纳巴
baltic	波罗的语
masonwork	石工
antiphrasis	反用法
surgical	手术上
attractively	迷人
underplay	不充分的表演
asininity	愚钝
cavetto	凹弧饰
polt	图谋
animated	活泼的
nix	拒绝
rabelaisian	粗俗幽默
